Tweet ID, User ID, Bullying_Traces?, Type, Form, Teasing?, Author_Role, Emotion,Text
102799330188070913,226626340,n,,,,,,
108886022917595136,94912172,n,,,,,,"#schools Students CAN get it in their Hearts & Minds that Bullying is wrong..Reach, Help, Teach, Empower #moms #twitterdads #parenting"
102430149366132736,337975060,y,self-disclosure,other,n,victim,anger,
102869076765974528,126116223,n,,,,,,"@egael088 @Ari2PMAM A ver, yo he perdonado a 1 de los q me hicieron bullying pq es mucha tela... xo hay gente q se las he devuelto cn clase"
103688396404301824,298156587,y,self-disclosure,other,n,victim,none,"@heyitslizi yooo, im being bullied ! lol"
104020954438574080,213071465,n,,,,,,
101821852304936960,199930783,n,,,,,,"Hj em dia, ñ é q o aluno bate no professor, o certo é dizer q o professor deu uma ""carada na mão do aluno"" e o aluno sofre bullying kkkkkk!"
102042619454033922,201255767,n,,,,,,"Booa Tarde gente boa ! tamo na correria hooje , logo cedo participei do manisfeto da juventude de Foz contra o Bulling , drogas , violencia"
104036779748884480,246566891,y,accusation,other,n,accuser,none,@cthrasherz you know what!? im reporting you!! #bully XD
104615464071733248,253707764,n,,,,,,Don't confuse the purpose of testing vs. student learning. Julia Steiny: Punitive Testing is Educational Bullying http://t.co/hiEvhiq
107869564649472001,151619926,n,,,,,,@RAIDERS repin the (805) JUST WIN BABY!!  BUILDING A BULLY IN OAKLAND!!!!!!
101015628470685696,236142958,n,,,,,,Bring out the tear gas and rubber bullets that will send em home crying
101806088189509633,73945566,n,,,,,,@eerikz te lo voy a robar por ser una bully :(
102090348439932928,231970537,n,,,,,,Bully Beatdown
102290356321787904,293339214,n,,,,,,
108689358709731328,116571018,n,,,,,,
102562426406449153,172104371,n,,,,,,"""Starve a bully, feed your soul.. STAND #GRAND!"" This isn't just a quote, but a way of life.. (: Thanks @VinCastronovo &lt;3"
102929392468103168,113775928,n,,,,,,
103823430163501056,26937201,n,,,,,,Gay Teens Sue Minnesota School District over Bullying Policy http://t.co/HxPqaAZ via @TIMENewsFeed
104584019953463297,202224232,n,,,,,,@Niketa: You might be interested in this pledge for online videos: http://t.co/liHRQ7u & my blog on cyber-bullying http://t.co/pGFMhbY
105117352332509184,36174883,n,,,,,,
101563193784147969,183270975,n,,,,,,@jaetong bully at least no torture yet =3 unlike... Tsk tsk. @livingdeadbunny
103151458618318849,326962357,y,self-disclosure,cyberbullying,n,victim,none,
104926594497392641,217672277,y,self-disclosure,other,n,victim,none,I remember being bullied and I wont let it get me down first because ima be big one day and they will watch while I do
106533662446718976,228165682,n,,,,,,I'm going to cut your steak......... Unevenly! #bullying
106713832939986944,15444313,n,,,,,,@_angelll ahaha isso é #bullying
108460666586796032,124116995,n,,,,,,Film ini salah satu potret bullying dikalangan anak2 #mynameiskhan
101407044132810753,50701619,n,,,,,,ai gnt ja falei que vi um lesk sofrendo bullying ne? fiquei mto mal serio quase fui bate no gordo maldito q fez bullying nele
101486672230879232,44755374,n,,,,,,"@chrisjballard @hullbird haha, big parka on with the bully handle on top of the fur lined hood..."
102048062326841344,184671952,y,self-disclosure,other,n,victim,none,"i just WISH a Lion would burst into this office and then i tamed the Lion and then rode it, and everyone would cheer and stop bullying me."
102764464151080960,145217945,n,,,,,,
103624786407727104,32566688,y,report,other,n,reporter,none,
104755524502953984,320422721,n,,,,,,@MacMiller no worries. no body cares about what who dude said. bully.
104881449743822849,180301320,n,,,,,,
105713410431389697,195712185,n,,,,,,@brendan_tew @natlovesyouxoxo owhh is it ? Ok . Beginner of Twitter . Don't bully . HAHA
108986180711878656,328899919,y,report,other,n,reporter,none,
109005050503888896,230387721,n,,,,,,
100676256839905280,45187897,y,report,other,n,reporter,none,"cousin, a straight A student, bullied into suicide and my eyes start tearing up knowing I'll never see him again."
105793110130434049,100356150,n,,,,,,
106505890160586752,300457750,n,,,,,,
100247714155077632,29633395,n,,,,,,"http://t.co/gGq1a5v ITS GOIN DWN ""BEDROOM BULLY"" STYLE #AUG20THCLUBGRAVITY ER'1 FREE B4 12AM $10 ADV TIXX MUSIC BY POWER 105's OWN @DJNorie"
101967523330793472,220213873,n,,,,,,Minha vó ta me dizendo que um dos meninos que faziam bulling cmg ta viciado em crack e tentou matar a famili x.x
103463952851275777,29725893,y,accusation,other,n,accuser,none,@__cristiano you should do something about it then ya big bully victim. . .
104020245446008832,220221971,y,self-disclosure,cyberbullying,y,victim,none,@My_Jia are you online bullying me lmao
107075202277580800,38889132,n,,,,,,me sinto um total nerd que sofre bullying (estilo americano) quando estou com crise de asma e tenho que usar a famosa 'bombinha' reughweir
100629340592676864,326382074,n,,,,,,
100974825476067328,23613124,n,,,,,,Preparing your child for school bullies http://cot.ag/oErG5t #bullying #cyerbullying #parenting
106415295207440384,86890296,n,,,,,,"God forbid, but if CCTV was in your firm, would 'Big Brother' see staff acknowledged/appreciated or intimidated/bullied? #bullying"
106916076578799616,95309328,n,,,,,,@AustinMahone #dontbescared of bully's if they bully you then ur obviously doing something right:)
106753582694547456,29027045,n,,,,,,My pitbull is under the kitchen table crying because of the thunder ....
103286398353801216,249960009,n,,,,,,
103866625115176960,142749107,y,self-disclosure,cyberbullying,n,bully,none,@AKidCalledDrew cyber bully you? want me to do it in person then? mm. try tomz and see if im nicer! ;)
105508320990863361,36614614,n,,,,,,"Wah difollow sm school bully yg 15 thn lalu ngatain gw ""Freak bgt sih lo!"" and made my teen years unbearable."
107091636768612352,311372388,n,,,,,,
102855294421450753,58565318,n,,,,,,
103550946210099200,15896024,y,report,other,n,reporter,none,"Expected & unsurprising that Gov. Perry can bully a student questioner and have it ignored, yet press still jonesin' for ""angry Black Prez."""
105387772013060096,356153041,n,,,,,,
103613451183722498,230486326,n,,,,,,
103870360193208320,28415724,n,,,,,,I can't stand a bully. Miserable bastards.
107908952955695104,18771753,y,denial,other,y,bully,none,@roossc @staresinka yes yes...we don't bully you! :D
106164308702019584,35403188,n,,,,,,I'm bout to spark my j fuck crying I'm over the bull shit
106364589201035265,73469286,y,denial,other,y,bully,none,@IzzyLloydCarter LOOL! Bullying? You? Nahhh never thaaaat *hugs*
103016455318151168,159342626,n,,,,,,
106377246180257792,228921229,n,,,,,,@SabioBrasileiro só se for bullying com o gay.
106491118262292480,83466342,n,,,,,,"""Não é bullying se eu te quebrar inteiro e dizer que estava brincando de jogos mortais."""
106672039221395457,141326046,n,,,,,,@louloubell1985 try telling parent and gparents that. Some of it is shameless and amounts to bullying. How great were their grades tho? X
106128554575659008,161338465,n,,,,,,"@julliemc coitado nada, ele faz bulling comigo só pq eu sou gaúcha, éé"
101343590025924609,59349463,n,,,,,,"Every 7 seconds a child is bullied, humiliated or neglected. The time it took yu to read this is one child right there. Make it better. #bap"
103595004844457985,56534047,n,,,,,,Vai começar  o bullying na minha time line? Kkkkkk
104271144038834176,282572642,n,,,,,,Check out resources from YWVCA's Family Violence Prevention Project. Info on bullying & teen dating violence prevention http://ow.ly/66Or6
105495146950426624,124492017,n,,,,,,
106026864312729603,191378304,n,,,,,,Suicide is the 3rd leading cause of death of kids our age. Stop bullying & judging. Love everyone & you will learn to love yourself.
107657262524403712,125637974,n,,,,,,@risqiaditya ah emang si @faricasukma korban bully lo ca! Bully dasar lo! Haha
101425422545334274,111442360,n,,,,,,Parando pra pensar aqui: hoje em dia tudo é bullying.
