,Tweet ID, Author_Role, Bullying_Traces?, Emotion, Form, Teasing?, Type, User ID,Text
0,102799330188070913,,n,,,,,226626340,
1,108886022917595136,,n,,,,,94912172,"#schools Students CAN get it in their Hearts & Minds that Bullying is wrong..Reach, Help, Teach, Empower #moms #twitterdads #parenting"
2,102430149366132736,victim,y,anger,other,n,self-disclosure,337975060,
3,102869076765974528,,n,,,,,126116223,"@egael088 @Ari2PMAM A ver, yo he perdonado a 1 de los q me hicieron bullying pq es mucha tela... xo hay gente q se las he devuelto cn clase"
4,103688396404301824,victim,y,none,other,n,self-disclosure,298156587,"@heyitslizi yooo, im being bullied ! lol"
5,104020954438574080,,n,,,,,213071465,
6,101821852304936960,,n,,,,,199930783,"Hj em dia, ñ é q o aluno bate no professor, o certo é dizer q o professor deu uma ""carada na mão do aluno"" e o aluno sofre bullying kkkkkk!"
7,102042619454033922,,n,,,,,201255767,"Booa Tarde gente boa ! tamo na correria hooje , logo cedo participei do manisfeto da juventude de Foz contra o Bulling , drogas , violencia"
8,104036779748884480,accuser,y,none,other,n,accusation,246566891,@cthrasherz you know what!? im reporting you!! #bully XD
9,104615464071733248,,n,,,,,253707764,Don't confuse the purpose of testing vs. student learning. Julia Steiny: Punitive Testing is Educational Bullying http://t.co/hiEvhiq
10,107869564649472001,,n,,,,,151619926,@RAIDERS repin the (805) JUST WIN BABY!!  BUILDING A BULLY IN OAKLAND!!!!!!
11,101015628470685696,,n,,,,,236142958,Bring out the tear gas and rubber bullets that will send em home crying
12,101806088189509633,,n,,,,,73945566,@eerikz te lo voy a robar por ser una bully :(
13,102090348439932928,,n,,,,,231970537,Bully Beatdown
14,102290356321787904,,n,,,,,293339214,
15,108689358709731328,,n,,,,,116571018,
16,102562426406449153,,n,,,,,172104371,"""Starve a bully, feed your soul.. STAND #GRAND!"" This isn't just a quote, but a way of life.. (: Thanks @VinCastronovo &lt;3"
17,102929392468103168,,n,,,,,113775928,
18,103823430163501056,,n,,,,,26937201,Gay Teens Sue Minnesota School District over Bullying Policy http://t.co/HxPqaAZ via @TIMENewsFeed
19,104584019953463297,,n,,,,,202224232,@Niketa: You might be interested in this pledge for online videos: http://t.co/liHRQ7u & my blog on cyber-bullying http://t.co/pGFMhbY
20,105117352332509184,,n,,,,,36174883,
21,101563193784147969,,n,,,,,183270975,@jaetong bully at least no torture yet =3 unlike... Tsk tsk. @livingdeadbunny
22,103151458618318849,victim,y,none,cyberbullying,n,self-disclosure,326962357,
23,104926594497392641,victim,y,none,other,n,self-disclosure,217672277,I remember being bullied and I wont let it get me down first because ima be big one day and they will watch while I do
24,106533662446718976,,n,,,,,228165682,I'm going to cut your steak......... Unevenly! #bullying
25,106713832939986944,,n,,,,,15444313,@_angelll ahaha isso é #bullying
26,108460666586796032,,n,,,,,124116995,Film ini salah satu potret bullying dikalangan anak2 #mynameiskhan
27,101407044132810753,,n,,,,,50701619,ai gnt ja falei que vi um lesk sofrendo bullying ne? fiquei mto mal serio quase fui bate no gordo maldito q fez bullying nele
28,101486672230879232,,n,,,,,44755374,"@chrisjballard @hullbird haha, big parka on with the bully handle on top of the fur lined hood..."
29,102048062326841344,victim,y,none,other,n,self-disclosure,184671952,"i just WISH a Lion would burst into this office and then i tamed the Lion and then rode it, and everyone would cheer and stop bullying me."
30,102764464151080960,,n,,,,,145217945,
31,103624786407727104,reporter,y,none,other,n,report,32566688,
32,104755524502953984,,n,,,,,320422721,@MacMiller no worries. no body cares about what who dude said. bully.
33,104881449743822849,,n,,,,,180301320,
34,105713410431389697,,n,,,,,195712185,@brendan_tew @natlovesyouxoxo owhh is it ? Ok . Beginner of Twitter . Don't bully . HAHA
35,108986180711878656,reporter,y,none,other,n,report,328899919,
36,109005050503888896,,n,,,,,230387721,
37,100676256839905280,reporter,y,none,other,n,report,45187897,"cousin, a straight A student, bullied into suicide and my eyes start tearing up knowing I'll never see him again."
38,105793110130434049,,n,,,,,100356150,
39,106505890160586752,,n,,,,,300457750,
40,100247714155077632,,n,,,,,29633395,"http://t.co/gGq1a5v ITS GOIN DWN ""BEDROOM BULLY"" STYLE #AUG20THCLUBGRAVITY ER'1 FREE B4 12AM $10 ADV TIXX MUSIC BY POWER 105's OWN @DJNorie"
41,101967523330793472,,n,,,,,220213873,Minha vó ta me dizendo que um dos meninos que faziam bulling cmg ta viciado em crack e tentou matar a famili x.x
42,103463952851275777,accuser,y,none,other,n,accusation,29725893,@__cristiano you should do something about it then ya big bully victim. . .
43,104020245446008832,victim,y,none,cyberbullying,y,self-disclosure,220221971,@My_Jia are you online bullying me lmao
44,107075202277580800,,n,,,,,38889132,me sinto um total nerd que sofre bullying (estilo americano) quando estou com crise de asma e tenho que usar a famosa 'bombinha' reughweir
45,100629340592676864,,n,,,,,326382074,
46,100974825476067328,,n,,,,,23613124,Preparing your child for school bullies http://cot.ag/oErG5t #bullying #cyerbullying #parenting
47,106415295207440384,,n,,,,,86890296,"God forbid, but if CCTV was in your firm, would 'Big Brother' see staff acknowledged/appreciated or intimidated/bullied? #bullying"
48,106916076578799616,,n,,,,,95309328,@AustinMahone #dontbescared of bully's if they bully you then ur obviously doing something right:)
49,106753582694547456,,n,,,,,29027045,My pitbull is under the kitchen table crying because of the thunder ....
50,103286398353801216,,n,,,,,249960009,
51,103866625115176960,bully,y,none,cyberbullying,n,self-disclosure,142749107,@AKidCalledDrew cyber bully you? want me to do it in person then? mm. try tomz and see if im nicer! ;)
52,105508320990863361,,n,,,,,36614614,"Wah difollow sm school bully yg 15 thn lalu ngatain gw ""Freak bgt sih lo!"" and made my teen years unbearable."
53,107091636768612352,,n,,,,,311372388,
54,102855294421450753,,n,,,,,58565318,
55,103550946210099200,reporter,y,none,other,n,report,15896024,"Expected & unsurprising that Gov. Perry can bully a student questioner and have it ignored, yet press still jonesin' for ""angry Black Prez."""
56,105387772013060096,,n,,,,,356153041,
57,103613451183722498,,n,,,,,230486326,
58,103870360193208320,,n,,,,,28415724,I can't stand a bully. Miserable bastards.
