,Tweet ID, User ID, Bullying_Traces?, Type, Form, Teasing?, Author_Role, Emotion
1400,102799330188070913,226626340,n,,,,,
1401,108886022917595136,94912172,n,,,,,
1402,102430149366132736,337975060,y,self-disclosure,other,n,victim,anger
1403,102869076765974528,126116223,n,,,,,
1404,103688396404301824,298156587,y,self-disclosure,other,n,victim,none
1405,104020954438574080,213071465,n,,,,,
1406,101821852304936960,199930783,n,,,,,
1407,102042619454033922,201255767,n,,,,,
1408,104036779748884480,246566891,y,accusation,other,n,accuser,none
1409,104615464071733248,253707764,n,,,,,
1410,107869564649472001,151619926,n,,,,,
1411,101015628470685696,236142958,n,,,,,
1412,101806088189509633,73945566,n,,,,,
1413,102090348439932928,231970537,n,,,,,
1414,102290356321787904,293339214,n,,,,,
1415,108689358709731328,116571018,n,,,,,
1416,102562426406449153,172104371,n,,,,,
1417,102929392468103168,113775928,n,,,,,
1418,103823430163501056,26937201,n,,,,,
1419,104584019953463297,202224232,n,,,,,
1420,105117352332509184,36174883,n,,,,,
1421,101563193784147969,183270975,n,,,,,
1422,103151458618318849,326962357,y,self-disclosure,cyberbullying,n,victim,none
1423,104926594497392641,217672277,y,self-disclosure,other,n,victim,none
1424,106533662446718976,228165682,n,,,,,
1425,106713832939986944,15444313,n,,,,,
1426,108460666586796032,124116995,n,,,,,
1427,101407044132810753,50701619,n,,,,,
1428,101486672230879232,44755374,n,,,,,
1429,102048062326841344,184671952,y,self-disclosure,other,n,victim,none
1430,102764464151080960,145217945,n,,,,,
1431,103624786407727104,32566688,y,report,other,n,reporter,none
1432,104755524502953984,320422721,n,,,,,
1433,104881449743822849,180301320,n,,,,,
1434,105713410431389697,195712185,n,,,,,
1435,108986180711878656,328899919,y,report,other,n,reporter,none
1436,109005050503888896,230387721,n,,,,,
1437,100676256839905280,45187897,y,report,other,n,reporter,none
1438,105793110130434049,100356150,n,,,,,
1439,106505890160586752,300457750,n,,,,,
1440,100247714155077632,29633395,n,,,,,
1441,101967523330793472,220213873,n,,,,,
1442,103463952851275777,29725893,y,accusation,other,n,accuser,none
1443,104020245446008832,220221971,y,self-disclosure,cyberbullying,y,victim,none
1444,107075202277580800,38889132,n,,,,,
1445,100629340592676864,326382074,n,,,,,
1446,100974825476067328,23613124,n,,,,,
1447,106415295207440384,86890296,n,,,,,
1448,106916076578799616,95309328,n,,,,,
1449,106753582694547456,29027045,n,,,,,
1450,103286398353801216,249960009,n,,,,,
1451,103866625115176960,142749107,y,self-disclosure,cyberbullying,n,bully,none
1452,105508320990863361,36614614,n,,,,,
1453,107091636768612352,311372388,n,,,,,
1454,102855294421450753,58565318,n,,,,,
1455,103550946210099200,15896024,y,report,other,n,reporter,none
1456,105387772013060096,356153041,n,,,,,
1457,103613451183722498,230486326,n,,,,,
1458,103870360193208320,28415724,n,,,,,
1459,107908952955695104,18771753,y,denial,other,y,bully,none
1460,106164308702019584,35403188,n,,,,,
1461,106364589201035265,73469286,y,denial,other,y,bully,none
1462,103016455318151168,159342626,n,,,,,
1463,106377246180257792,228921229,n,,,,,
1464,106491118262292480,83466342,n,,,,,
1465,106672039221395457,141326046,n,,,,,
1466,106128554575659008,161338465,n,,,,,
1467,101343590025924609,59349463,n,,,,,
1468,103595004844457985,56534047,n,,,,,
1469,104271144038834176,282572642,n,,,,,
1470,105495146950426624,124492017,n,,,,,
1471,106026864312729603,191378304,n,,,,,
1472,107657262524403712,125637974,n,,,,,
1473,101425422545334274,111442360,n,,,,,
1474,102828729952256000,247547872,y,accusation,other,n,accuser,none
1475,103777635817095169,291029247,n,,,,,
1476,103875843826270209,29861163,y,self-disclosure,other,n,defender,none
1477,104282328095928320,349421164,y,self-disclosure,other,n,victim,none
1478,104935342452387840,95420546,n,,,,,
1479,106044370339381250,345914662,n,,,,,
1480,108678029466796032,313413996,y,self-disclosure,other,n,victim,none
1481,108933271613739009,107790646,n,,,,,
1482,109022686549782529,159984082,n,,,,,
1483,101567910874587137,124296515,n,,,,,
1484,101746047705026560,292554147,n,,,,,
1485,103711344120967168,97318237,n,,,,,
1486,103851263485153280,179223007,n,,,,,
1487,108735380878135296,364169904,y,self-disclosure,other,n,victim,none
1488,101705528106954752,342921402,n,,,,,
1489,103346128505942016,256680534,y,denial,other,n,bully,none
1490,104098647993630720,226825150,n,,,,,
1491,106025332175405056,138343652,n,,,,,
1492,102670977204363264,29719024,y,self-disclosure,other,n,victim,none
1493,103604477877170178,20372834,y,accusation,other,n,accuser,none
1494,108226449869246465,206660507,n,,,,,
1495,101681307863625729,28099080,n,,,,,
1496,102639368392540160,332164370,n,,,,,
1497,104368321931132928,103705400,n,,,,,
1498,105801349412823040,210640222,n,,,,,
1499,105810654706929664,168294562,n,,,,,
1500,108122672407388160,89389508,n,,,,,
1501,108331154175827968,35036883,n,,,,,
1502,102195161202823168,224270985,n,,,,,
1503,102196648024879104,23926035,n,,,,,
1504,103825307127123968,319712519,n,,,,,
1505,105640478434799618,232988430,y,accusation,other,y,accuser,none
1506,105775633862361088,62944177,n,,,,,
1507,105005132227424256,11146522,n,,,,,
1508,105125353072234496,349681099,n,,,,,
1509,107880840566022145,331207064,n,,,,,
1510,101976183503208449,65022894,n,,,,,
1511,102108993798946816,16932848,n,,,,,
1512,106420102425083905,87491378,n,,,,,
1513,106727371721281536,292038716,y,report,other,n,reporter,none
1514,103514133839880192,312764725,n,,,,,
1515,107733463779643393,134365515,y,report,other,n,reporter,none
1516,107891753960484864,49714010,y,self-disclosure,other,y,victim,none
1517,100316884754378753,178920536,n,,,,,
1518,102599532310827009,285607053,y,self-disclosure,physical,n,bully,none
1519,103508209867833344,84450267,n,,,,,
1520,103886797779632129,26131488,n,,,,,
1521,104110480070684673,232462838,y,report,other,n,reporter,none
1522,106458754421227520,284134143,n,,,,,
1523,108971160292700161,127232412,n,,,,,
1524,103885512095432704,221800773,n,,,,,
1525,104387254595756032,234221061,y,report,other,n,reporter,none
1526,108466243933179904,94167018,n,,,,,
1527,102424245925183488,69007353,y,accusation,other,n,accuser,none
1528,105395797566291968,5391432,n,,,,,
1529,105797184804487169,75161421,n,,,,,
1530,106597935994765312,307749960,n,,,,,
1531,108041902087090176,358984732,y,self-disclosure,other,y,victim,none
