,Text
0,"#schools students can get it in their hearts & minds that bullying is wrong..reach, help, teach, empower #moms #twitterdads #parenting"
1,"@username @username a ver, yo he perdonado a 1 de los q me hicieron bullying pq es mucha tela... xo hay gente q se las he devuelto cn clase"
2,"@username yooo, im being bullied ! lol"
3,"hj em dia, q o aluno bate no professor, o certo dizer q o professor deu uma ""carada na mo do aluno"" e o aluno sofre bullying kkkkkk!"
4,"booa tarde gente boa ! tamo na correria hooje , logo cedo participei do manisfeto da juventude de foz contra o bulling , drogas , violencia"
5,@username you know what!? im reporting you!! #bully xd
6,don't confuse the purpose of testing vs. student learning. julia steiny: punitive testing is educational bullying httplink
7,@username repin the (805) just win baby!! building a bully in oakland!!!!!!
8,bring out the tear gas and rubber bullets that will send em home crying
9,@username te lo voy a robar por ser una bully :(
10,bully beatdown
11,"""starve a bully, feed your soul.. stand #grand!"" this isn't just a quote, but a way of life.. (: thanks @username <3"
12,gay teens sue minnesota school district over bullying policy httplink via @username
13,@username: you might be interested in this pledge for online videos: httplink & my blog on cyber-bullying httplink
14,@username bully at least no torture yet =3 unlike... tsk tsk. @username
15,i remember being bullied and i wont let it get me down first because ima be big one day and they will watch while i do
16,i'm going to cut your steak......... unevenly! #bullying
17,@username ahaha isso #bullying
18,film ini salah satu potret bullying dikalangan anak2 #mynameiskhan
19,ai gnt ja falei que vi um lesk sofrendo bullying ne? fiquei mto mal serio quase fui bate no gordo maldito q fez bullying nele
20,"@username @username haha, big parka on with the bully handle on top of the fur lined hood..."
21,"i just wish a lion would burst into this office and then i tamed the lion and then rode it, and everyone would cheer and stop bullying me."
22,@username no worries. no body cares about what who dude said. bully.
23,@username @username owhh is it ? ok . beginner of twitter . don't bully . haha
24,"cousin, a straight a student, bullied into suicide and my eyes start tearing up knowing i'll never see him again."
25,"httplink its goin dwn ""bedroom bully"" style #aug20thclubgravity er'1 free b4 12am $10 adv tixx music by power 105's own @username"
26,minha v ta me dizendo que um dos meninos que faziam bulling cmg ta viciado em crack e tentou matar a famili x.x
27,@username you should do something about it then ya big bully victim. . .
28,@username are you online bullying me lmao
29,me sinto um total nerd que sofre bullying (estilo americano) quando estou com crise de asma e tenho que usar a famosa 'bombinha' reughweir
30,preparing your child for school bullies httplink #bullying #cyerbullying #parenting
31,"god forbid, but if cctv was in your firm, would 'big brother' see staff acknowledged/appreciated or intimidated/bullied? #bullying"
32,@username #dontbescared of bully's if they bully you then ur obviously doing something right:)
33,my pitbull is under the kitchen table crying because of the thunder ....
34,@username cyber bully you? want me to do it in person then? mm. try tomz and see if im nicer! ;)
35,"wah difollow sm school bully yg 15 thn lalu ngatain gw ""freak bgt sih lo!"" and made my teen years unbearable."
36,"expected & unsurprising that gov. perry can bully a student questioner and have it ignored, yet press still jonesin' for ""angry black prez."""
37,i can't stand a bully. miserable bastards.
38,@username @username yes yes...we don't bully you! :d
39,i'm bout to spark my j fuck crying i'm over the bull shit
40,@username lool! bullying? you? nahhh never thaaaat *hugs*
41,@username s se for bullying com o gay.
42,"""no bullying se eu te quebrar inteiro e dizer que estava brincando de jogos mortais."""
43,@username try telling parent and gparents that. some of it is shameless and amounts to bullying. how great were their grades tho? x
44,"@username coitado nada, ele faz bulling comigo s pq eu sou gacha,"
45,"every 7 seconds a child is bullied, humiliated or neglected. the time it took yu to read this is one child right there. make it better. #bap"
46,vai comear o bullying na minha time line? kkkkkk
47,check out resources from ywvca's family violence prevention project. info on bullying & teen dating violence prevention httplink
48,suicide is the 3rd leading cause of death of kids our age. stop bullying & judging. love everyone & you will learn to love yourself.
49,@username ah emang si @username korban bully lo ca! bully dasar lo! haha
50,parando pra pensar aqui: hoje em dia tudo bullying.
51,"@username omg lol, ur the ultimate bully! whatastackalackalack"
52,"@username trol is bullying me??! well, not really bullying she is just calling me a bitch :o ;d but its nothing bad, i can handle her"
53,"@username i think you're beautiful, and who ever is bullying you, is just jealous of how your life is turning out great :)"
54,@username cuz they get bullied more than me and i dont think its right1 so we r rebelling against those 'popular kids'
55,@username your a bully to me :c ;b
56,vou sofrer bullying
57,cynthia i was tryna give you some play but you was bulling.
58,"#onlyrealjamaicans eat ""bully beef"" outside fi avoid di gingi fly dem frm entering dem house"
59,"gearing up for school?! add our new book, ""transforming school climate and learning; beyond bullying and... httplink"
60,"se voc tem problemas com bullying, compre um cafeteira."
61,jadi aja di-bully (lagi) gara-gara 'korea' (??_??)
62,@username fine! but can i please ask u and @username to stop bullying me?! ha! @username
63,@username trying to bully users into buying on vizlar is abusive! ;)
64,my viv moment - an article on my anti-bully efforts. please read and share! httplink /via @username
