Comment,Insult
you fuck your dad,1
i really do not understand your point it seems that you are mixing apples and oranges,0
a majority of canadians can and has been wrong before now and will be again unless you are supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them s the breaks and we can always regard you as collateral damage like in wartime and sorry but the cheques in the mail,0
listen if you dont wanna get married to a man or a women dont do it what would it bother you if gay people got married stay in your lane do you let them do them and your god is so nice but quick to judg if your not like him thought you wasnt suppose to judge people,0
ok but i would hope they would sign him to a one year contract to start with give him the chance to be reliable and productive but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits,0
yeah and where are you now,0
shut the fuck up you and the rest of your faggot friends should be burned at the stake,1
either you are fake or extremely stupid maybe both,1
that you are an idiot who understands neither taxation nor women s health,1
dont wish him injury but it happened on its own and i doubt he is injured he looked embarrassed to me,0
be careful jimbo og has a fork with your name on it,0
or they just do not pay attention,0
hmm perhaps some who are too pig faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can idk stream of consciousnees thought after looking at her,0
huh her income was her spending was my math puts that at,0
for some reason u sound retarded lol damn where u been negro,1
you with the racist screen name you are a pieceofshit,1
oh cheating as well cup was a cheat fest you still dare to post that comment shame on you lol,0
your such a dickhead,1
your a retard go post your head up your,1
makes you want to say mike macwhogal,0
and you know they have burned holes in all the carpeting,0
you are a land creature you would drown,0
to all those doom and gloomers the chicken littles who claim the sky is falling and that society is collapsing canada has had gay marriage nationwide for years where is the disaster where is the collapse and the persecution you are shouting about where is it please show us some examples because it is starting to look like your threats and fears and warnings are nothing but hot air,0
craig we have been saying from the start that this is a very entertaining show it awakens the horny little goth in me i met my boyfriend during the first season and one of the first thing we did was watch ahs at my house i know he likes me and all but to this day he is sure i am far creepier and kinkier than he could ever be thanks american horror story sweet clam loves you,0
strange you are talking about that when there were chelsea fans in here belittling the community shield,0
but how would you actually get the key out,0
oh cool some more internet points for your collection,0
even though i think there are better coaches out there i am glad del negro is keeping his job i never thought he got enough credit those years when he took those average chicago bulls teams he coached to the playoffs years in a row,0
russellpiano hmm how can we spin obama honoring vietnam troops as something negative answer does not matter look at our followers they will take anything obama team hmm how can we make the liberal messiah look better in light of the revelations of his leaking classified information to the new york times i know lets have a bogus photo shoot at the viet nam memorial that will make obama look like he cares about vets but first we will have to clear all the vets out of the immediate area because they cannot be trusted,0
a good article which for all the good it will do could have been delivered to a brick wall,0
